path	type	required	constraints	description
ITR.ITR1.PartA_139_8A.UpdatingInc.ReasonsForUpdatingIncDtls[].ReasonsForUpdatingIncome	string	True	type=string, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*), enum=['1', '2', '3', '4', '5', '6', '7', 'OTH'], REQUIRED	1 - Return previously not filed; 2 - Income not reported correctly; 3 - Wrong heads of income chosen; 4 - Reduction of carried forward loss; 5 - Reduction of unabsorbed depreciation; 6 - Reduction of tax credit u/s 115JB/115JC; 7 - Wrong rate of tax; OTH-Others
ITR.ITR1.PartA_139_8A.UpdatedReturnDuringPeriod	string	True	type=string, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*), enum=['1', '2', '3', '4'], REQUIRED	1 - Up to 12 months from the end of Relevant Assessment Year; 2 - Between 12 to 24 Months from the end of Relevant Assessment Year; 3 - Between 24 to 36 Months from the end of Relevant Assessment Year; 4 - Between 36 to 48 Months from the end of Relevant Assessment Year
ITR.ITR1.PartA_139_8A.RetrntoRedCarriedFL.UnabsorbedDepreciation	string	True	type=string, pattern=Y|N, REQUIRED	
ITR.ITR1.PartA_139_8A.RetrntoRedCarriedFL.UDYear.UnabsorbedDepreciationYearDtls[].UnabsorbedDepreciationYear	string	True	type=string, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*), enum=['2026', '2027'], REQUIRED	2026; 2027
ITR.ITR1.PartA_139_8A.RetrntoRedCarriedFL.UDYear.UnabsorbedDepreciationYearDtls[].RevisedReturnFile	string	False	type=string, pattern=Y|N	
ITR.ITR1.PartA_139_8A.RetrntoRedCarriedFL.UDYear.UnabsorbedDepreciationYearDtls[].UpdatedReturnFile	string	False	type=string, pattern=Y|N	
ITR.ITR1.PartB-ATI.HeadOfInc.Salaries	integer	False	type=integer, minimum=-99999999999999, maximum=99999999999999	Income from Salary
ITR.ITR1.PartB-ATI.HeadOfInc.IncomeFromHP	integer	False	type=integer, minimum=-99999999999999, maximum=99999999999999	Income from house property
ITR.ITR1.PartB-ATI.HeadOfInc.IncomeFromBP	integer	False	type=integer, minimum=-99999999999999, maximum=99999999999999	Income from Business or Profession
ITR.ITR1.PartB-ATI.HeadOfInc.IncomeFromCG	integer	False	type=integer, minimum=-99999999999999, maximum=99999999999999	Income from Capital Gains
ITR.ITR1.PartB-ATI.HeadOfInc.IncomeFromOS	integer	False	type=integer, minimum=-99999999999999, maximum=99999999999999	Income from Other Sources
ITR.ITR1.PartB-ATI.HeadOfInc.Total	integer	False	type=integer, minimum=-99999999999999, maximum=99999999999999	
ITR.ITR1.PartB-ATI.LatestTotInc	integer	False	type=integer, minimum=0, maximum=99999999999999	
ITR.ITR1.PartB-ATI.UpdatedTotInc	integer	True	type=integer, minimum=0, maximum=99999999999999, REQUIRED	
ITR.ITR1.PartB-ATI.AmtPayable	integer	True	type=integer, minimum=0, maximum=99999999999999, REQUIRED	
ITR.ITR1.PartB-ATI.AmtRefundable	integer	False	type=integer, minimum=0, maximum=99999999999999	
ITR.ITR1.PartB-ATI.LastAmtPayable	integer	False	type=integer, minimum=0, maximum=99999999999999	
ITR.ITR1.PartB-ATI.Refund	integer	False	type=integer, minimum=0, maximum=99999999999999	
ITR.ITR1.PartB-ATI.TotRefund	integer	False	type=integer, minimum=0, maximum=99999999999999	
ITR.ITR1.PartB-ATI.FeeIncUS234F	integer	True	type=integer, minimum=0, maximum=5000, REQUIRED	
ITR.ITR1.PartB-ATI.RegAssessementTAX	integer	False	type=integer, minimum=0, maximum=99999999999999	
ITR.ITR1.PartB-ATI.AggrLiabilityRefund	integer	True	type=integer, minimum=0, maximum=99999999999999, REQUIRED	
ITR.ITR1.PartB-ATI.AggrLiabilityNoRefund	integer	True	type=integer, minimum=0, maximum=99999999999999, REQUIRED	
ITR.ITR1.PartB-ATI.AddtnlIncTax	integer	True	type=integer, minimum=0, maximum=99999999999999, REQUIRED	
ITR.ITR1.PartB-ATI.NetPayable	integer	True	type=integer, minimum=0, maximum=99999999999999, REQUIRED	
ITR.ITR1.PartB-ATI.TaxUS140B	integer	True	type=integer, minimum=0, maximum=99999999999999, REQUIRED	
ITR.ITR1.PartB-ATI.TaxDue10_11	integer	True	type=integer, minimum=0, maximum=99999999999999, REQUIRED	
ITR.ITR1.PartB-ATI.ScheduleIT1.TaxPayment1.ITTaxPayments[].slno	integer	False	type=integer, minimum=0, maximum=99999999999999	
ITR.ITR1.PartB-ATI.ScheduleIT1.TaxPayment1.ITTaxPayments[].BSRCode	string	True	type=string, pattern=[0-9]{3}[0-9A-Z]{4}, REQUIRED	
ITR.ITR1.PartB-ATI.ScheduleIT1.TaxPayment1.ITTaxPayments[].DateDep	string	True	type=string, pattern=([12]\d{3}-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01])), REQUIRED	Date in YYYY-MM-DD format on or after 2022-04-01
ITR.ITR1.PartB-ATI.ScheduleIT1.TaxPayment1.ITTaxPayments[].SrlNoOfChaln	integer	True	type=integer, minimum=0, maximum=99999, REQUIRED	
ITR.ITR1.PartB-ATI.ScheduleIT1.TaxPayment1.ITTaxPayments[].Amt	integer	True	type=integer, minimum=0, maximum=99999999999999, REQUIRED	
ITR.ITR1.PartB-ATI.ScheduleIT1.Total	integer	True	type=integer, minimum=0, maximum=99999999999999, REQUIRED	
ITR.ITR1.PartB-ATI.ScheduleIT2.TaxPayment2.ITTaxPayments[].slno	integer	False	type=integer, minimum=0, maximum=99999999999999	
ITR.ITR1.PartB-ATI.ScheduleIT2.TaxPayment2.ITTaxPayments[].BSRCode	string	True	type=string, pattern=[0-9]{3}[0-9A-Z]{4}, REQUIRED	
ITR.ITR1.PartB-ATI.ScheduleIT2.TaxPayment2.ITTaxPayments[].DateDep	string	True	type=string, pattern=([12]\d{3}-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01])), REQUIRED	Date in YYYY-MM-DD format on or after 2022-04-01
ITR.ITR1.PartB-ATI.ScheduleIT2.TaxPayment2.ITTaxPayments[].SrlNoOfChaln	integer	True	type=integer, minimum=0, maximum=99999, REQUIRED	
ITR.ITR1.PartB-ATI.ScheduleIT2.TaxPayment2.ITTaxPayments[].Amt	integer	True	type=integer, minimum=0, maximum=99999999999999, REQUIRED	
ITR.ITR1.PartB-ATI.ScheduleIT2.Total	integer	True	type=integer, minimum=0, maximum=99999999999999, REQUIRED	
ITR.ITR1.PartB-ATI.ReleifUS89	integer	True	type=integer, minimum=0, maximum=99999999999999, REQUIRED	
ITR.ITR1.PersonalInfo.AssesseeName.FirstName	string	False	type=string, maxLength=25, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*)	
ITR.ITR1.PersonalInfo.AssesseeName.MiddleName	string	False	type=string, maxLength=25, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*)	
ITR.ITR1.PersonalInfo.AssesseeName.SurNameOrOrgName	string	True	type=string, minLength=1, maxLength=75, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*), REQUIRED	Enter Last or Sur name for Individual name here
ITR.ITR1.PersonalInfo.PAN	string	True	type=string, pattern=[A-Z]{5}[0-9]{4}[A-Z], REQUIRED	
ITR.ITR1.PersonalInfo.Address.ResidenceNo	string	True	type=string, minLength=1, maxLength=50, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*), REQUIRED	
ITR.ITR1.PersonalInfo.Address.ResidenceName	string	False	type=string, maxLength=50, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*)	
ITR.ITR1.PersonalInfo.Address.RoadOrStreet	string	False	type=string, maxLength=50, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*)	
ITR.ITR1.PersonalInfo.Address.LocalityOrArea	string	True	type=string, minLength=1, maxLength=50, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*), REQUIRED	
ITR.ITR1.PersonalInfo.Address.CityOrTownOrDistrict	string	True	type=string, minLength=1, maxLength=50, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*), REQUIRED	
ITR.ITR1.PersonalInfo.Address.StateCode	string	True	type=string, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*), enum=['01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27…], REQUIRED	01-Andaman and Nicobar islands; 02-Andhra Pradesh; 03-Arunachal Pradesh; 04-Assam; 05-Bihar; 06-Chandigarh; 07-Dadra Nagar and Haveli; 08-Daman and Diu; 09- Delhi; 10- Goa; 11-Gujarat; 12- Haryana; 13- Himachal Pradesh; 14-Jammu and Kashmir; 15- Karnataka; 16- Kerala; 17- Lakshadweep; 18-Madhya Pradesh; 19-Maharashtra; 20-Manipur; 21-meghalaya; 22-Mizoram; 23-Nagaland; 24- Odisha; 25- Puducherry; 26- Punjab; 27-Rajasthan; 28- Sikkim; 29-Tamil Nadu; 30- Tripura; 31-Uttar Pradesh; 32- West Bengal; 33- Chhattisgarh; 34- Uttarakhand; 35- Jharkhand; 36- Telangana; 37- Ladakh; 99-Foreign
ITR.ITR1.PersonalInfo.Address.CountryCode	string	True	type=string, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*), enum=['93', '1001', '355', '213', '684', '376', '244', '1264', '1010', '1268', '54', '374', '297', '61', '43', '994', '1242', '973', '880', '1246', '375', '32', '501…], REQUIRED	93:AFGHANISTAN; 1001:ÅLAND ISLANDS; 355:ALBANIA; 213:ALGERIA; 684:AMERICAN SAMOA; 376:ANDORRA; 244:ANGOLA; 1264:ANGUILLA; 1010:ANTARCTICA; 1268:ANTIGUA AND BARBUDA; 54:ARGENTINA; 374:ARMENIA; 297:ARUBA; 61:AUSTRALIA; 43:AUSTRIA; 994:AZERBAIJAN; 1242:BAHAMAS; 973:BAHRAIN; 880:BANGLADESH; 1246:BARBADOS; 375:BELARUS; 32:BELGIUM; 501:BELIZE; 229:BENIN; 1441:BERMUDA; 975:BHUTAN; 591:BOLIVIA (PLURINATIONAL STATE OF); 1002:BONAIRE, SINT EUSTATIUS AND SABA; 387:BOSNIA AND HERZEGOVINA; 267:BOTSWANA; 1003:BOUVET ISLAND; 55:BRAZIL; 1014:BRITISH INDIAN OCEAN TERRITORY; 673:BRUNEI DARUSSALAM; 359:BULGARIA; 226: BURKINA FASO; 257:BURUNDI; 238:CABO VERDE; 855:CAMBODIA; 237:CAMEROON; 1:CANADA; 1345:CAYMAN ISLANDS; 236:CENTRAL AFRICAN REPUBLIC; 235:CHAD; 56:CHILE; 86:CHINA; 9:CHRISTMAS ISLAND; 672:COCOS (KEELING) ISLANDS; 57:COLOMBIA; 270:COMOROS; 242:CONGO; 243:CONGO (DEMOCRATIC REPUBLIC OF THE); 682:COOK ISLANDS; 506:COSTA RICA; 225:CÔTE D'IVOIRE; 385:CROATIA; 53:CUBA; 1015:CURAÇAO; 357:CYPRUS; 420:CZECHIA; 45:DENMARK; 253:DJIBOUTI; 1767:DOMINICA; 1809:DOMINICAN REPUBLIC; 593:ECUADOR; 20:EGYPT; 503:EL SALVADOR; 240:EQUATORIAL GUINEA; 291:ERITREA; 372:ESTONIA; 251:ETHIOPIA; 500:FALKLAND ISLANDS (MALVINAS); 298:FAROE ISLANDS; 679:FIJI; 358:FINLAND; 33:FRANCE; 594:FRENCH GUIANA; 689:FRENCH POLYNESIA; 1004:FRENCH SOUTHERN TERRITORIES; 241:GABON; 220:GAMBIA; 995:GEORGIA; 49:GERMANY; 233:GHANA; 350:GIBRALTAR; 30:GREECE; 299:GREENLAND; 1473:GRENADA; 590:GUADELOUPE; 1671:GUAM; 502:GUATEMALA; 1481:GUERNSEY; 224:GUINEA; 245:GUINEA-BISSAU; 592:GUYANA; 509:HAITI; 1005:HEARD ISLAND AND MCDONALD ISLANDS; 6:HOLY SEE; 504:HONDURAS; 852:HONG KONG; 36:HUNGARY; 354:ICELAND; 91:INDIA; 62:INDONESIA; 98:IRAN (ISLAMIC REPUBLIC OF); 964:IRAQ; 353:IRELAND; 1624:ISLE OF MAN; 972:ISRAEL; 5:ITALY; 1876:JAMAICA; 81:JAPAN; 1534:JERSEY; 962:JORDAN; 7:KAZAKHSTAN; 254:KENYA; 686:KIRIBATI; 850:KOREA(DEMOCRATIC PEOPLE'S REPUBLIC OF); 82:KOREA (REPUBLIC OF); 965:KUWAIT; 996:KYRGYZSTAN; 856:LAO PEOPLE'S DEMOCRATIC REPUBLIC; 371:LATVIA; 961:LEBANON; 266:LESOTHO; 231:LIBERIA; 218:LIBYA; 423:LIECHTENSTEIN; 370:LITHUANIA; 352:LUXEMBOURG; 853:MACAO; 389:MACEDONIA(THE FORMER YUGOSLAV REPUBLIC OF); 261:MADAGASCAR; 265:MALAWI; 60:MALAYSIA; 960:MALDIVES; 223:MALI; 356:MALTA; 692:MARSHALL ISLANDS; 596:MARTINIQUE; 222:MAURITANIA; 230:MAURITIUS; 269:MAYOTTE; 52:MEXICO; 691:MICRONESIA (FEDERATED STATES OF); 373:MOLDOVA (REPUBLIC OF); 377:MONACO; 976:MONGOLIA; 382:MONTENEGRO; 1664:MONTSERRAT; 212:MOROCCO; 258:MOZAMBIQUE; 95:MYANMAR; 264:NAMIBIA; 674:NAURU; 977:NEPAL; 31:NETHERLANDS; 687:NEW CALEDONIA; 64:NEW ZEALAND; 505:NICARAGUA; 227:NIGER; 234:NIGERIA; 683:NIUE; 15:NORFOLK ISLAND; 1670:NORTHERN MARIANA ISLANDS; 47:NORWAY; 968:OMAN; 92:PAKISTAN; 680:PALAU; 970:PALESTINE, STATE OF; 507:PANAMA; 675:PAPUA NEW GUINEA; 595:PARAGUAY; 51:PERU; 63:PHILIPPINES; 1011:PITCAIRN; 48:POLAND; 14:PORTUGAL; 1787:PUERTO RICO; 974:QATAR; 262:RÉUNION; 40:ROMANIA; 8:RUSSIAN FEDERATION; 250:RWANDA; 1006:SAINT BARTHÉLEMY; 290: SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA; 1869:SAINT KITTS AND NEVIS; 1758:SAINT LUCIA; 1007:SAINT MARTIN (FRENCH PART); 508:SAINT PIERRE AND MIQUELON; 1784:SAINT VINCENT AND THE GRENADINES; 685:SAMOA; 378:SAN MARINO; 239:SAO TOME AND PRINCIPE; 966:SAUDI ARABIA; 221:SENEGAL; 381:SERBIA; 248:SEYCHELLES; 232:SIERRA LEONE; 65:SINGAPORE; 1721:SINT MAARTEN (DUTCH PART); 421:SLOVAKIA; 386:SLOVENIA; 677:SOLOMON ISLANDS; 252:SOMALIA; 28:SOUTH AFRICA; 1008:SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS; 211:SOUTH SUDAN; 35:SPAIN; 94:SRI LANKA; 249:SUDAN; 597:SURINAME; 1012:SVALBARD AND JAN MAYEN; 268:SWAZILAND; 46:SWEDEN; 41:SWITZERLAND; 963:SYRIAN ARAB REPUBLIC; 886:TAIWAN; 992:TAJIKISTAN; 255:TANZANIA, UNITED REPUBLIC OF; 66:THAILAND; 670:TIMOR-LESTE (EAST TIMOR); 228:TOGO; 690:TOKELAU; 676:TONGA; 1868:TRINIDAD AND TOBAGO; 216:TUNISIA; 90:TURKEY; 993:TURKMENISTAN; 1649:TURKS AND CAICOS ISLANDS; 688:TUVALU; 256:UGANDA; 380:UKRAINE; 971:UNITED ARAB EMIRATES; 44:UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND; 2:UNITED STATES OF AMERICA; 1009:UNITED STATES MINOR OUTLYING ISLANDS; 598:URUGUAY; 998:UZBEKISTAN; 678:VANUATU; 58:VENEZUELA (BOLIVARIAN REPUBLIC OF); 84:VIET NAM; 1284:VIRGIN ISLANDS (BRITISH); 1340:VIRGIN ISLANDS (U.S.); 681:WALLIS AND FUTUNA; 1013:WESTERN SAHARA; 967:YEMEN; 260:ZAMBIA; 263:ZIMBABWE; 9999:OTHERS
ITR.ITR1.PersonalInfo.Address.PinCode	integer	False	type=integer, pattern=[1-9]{1}[0-9]{5}	
ITR.ITR1.PersonalInfo.Address.ZipCode	string	False	type=string, maxLength=8, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*)	
ITR.ITR1.PersonalInfo.Address.CountryCodeMobile	integer	True	type=integer, pattern=[0-9]{1,5}, REQUIRED	
ITR.ITR1.PersonalInfo.Address.MobileNo	integer	True	type=integer, pattern=[1-9]{1}[0-9]{9}|[1-9]{1}[0-9]{4,9}, REQUIRED	
ITR.ITR1.PersonalInfo.Address.EmailAddress	string	True	type=string, maxLength=125, pattern=([\.a-zA-Z0-9_\-])+@([a-zA-Z0-9_\-])+(([a-zA-Z0-9_\-])*\.([a-zA-Z0-9_\-])+)+, REQUIRED	
ITR.ITR1.PersonalInfo.DOB	string	True	type=string, pattern=([12]\d{3}-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01])), REQUIRED	Date of Birth of the Assessee format YYYY-MM-DD; maximum date allowed 2025-03-31
ITR.ITR1.PersonalInfo.EmployerCategory	string	True	type=string, enum=['CGOV', 'SGOV', 'PSU', 'PE', 'PESG', 'PEPS', 'PEO', 'OTH', 'NA'], REQUIRED	CGOV:Central Government, SGOV:State Government, PSU:Public Sector Unit, PE:Pensioners - Central Government, PESG:Pensioners - State Government, PEPS:Pensioners - Public sector undertaking, PEO:Pensioners - Others, OTH:Others, NA:Not Applicable
ITR.ITR1.PersonalInfo.AadhaarCardNo	string	False	type=string, pattern=[0-9]{12}	
ITR.ITR1.FilingStatus.ReturnFileSec	integer	True	type=integer, minimum=11, maximum=21, enum=[11, 12, 13, 14, 16, 17, 18, 20, 21], REQUIRED	11 : 139(1)-On or before due date, 12 : 139(4)-After due date, 13 : 142(1), 14 : 148, 16 : 153C, 17 : 139(5)-Revised , 18 : 139(9), 20 : 119(2)(b)-After condonation of delay, 21 : 139(8A)-Updated Return
ITR.ITR1.FilingStatus.OptOutNewTaxRegime	string	True	type=string, pattern=Y|N, REQUIRED	
ITR.ITR1.FilingStatus.SeventhProvisio139	string	False	type=string, pattern=Y|N	
ITR.ITR1.FilingStatus.IncrExpAggAmt2LkTrvFrgnCntryFlg	string	False	type=string, pattern=Y|N	
ITR.ITR1.FilingStatus.AmtSeventhProvisio139ii	integer	False	type=integer, minimum=200000, maximum=99999999999999	
ITR.ITR1.FilingStatus.IncrExpAggAmt1LkElctrctyPrYrFlg	string	False	type=string, pattern=Y|N	
ITR.ITR1.FilingStatus.AmtSeventhProvisio139iii	integer	False	type=integer, minimum=100000, maximum=99999999999999	
ITR.ITR1.FilingStatus.clauseiv7provisio139i	string	False	type=string, pattern=Y|N	
ITR.ITR1.FilingStatus.clauseiv7provisio139iDtls[].clauseiv7provisio139iNature	string	True	type=string, enum=['1', '2'], REQUIRED	1 - the aggregate of tax deducted at source and tax collected at source during the previous year, in the case of the person, is twenty-five thousand rupees or more(fifty thousand for resident senior citizen); 2 - the deposit in one or more savings bank account of the person, in aggregate, is fifty lakh rupees or more, in the previous year
ITR.ITR1.FilingStatus.clauseiv7provisio139iDtls[].clauseiv7provisio139iAmount	integer	True	type=integer, minimum=0, maximum=99999999999999, REQUIRED	
ITR.ITR1.FilingStatus.ReceiptNo	string	False	type=string, pattern=[0-9]{15}	Enter the Acknowledgement number of the original return.
ITR.ITR1.FilingStatus.NoticeNo	string	False	type=string, maxLength=100, pattern=|(\s*([\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"][\s\w\d_=!@#$%\^*\(\){}\[\]\|\\:;',\.\?/~`\-\+<>&"]*)\s*)	
ITR.ITR1.FilingStatus.OrigRetFiledDate	string	False	type=string, pattern=([12]\d{3}-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01]))	Enter Date of filing of Original return in YYYY-MM-DD format
ITR.ITR1.FilingStatus.NoticeDateUnderSec	string	False	type=string, pattern=([12]\d{3}-(0[1-9]|1[0-2])-(0[1-9]|[12]\d|3[01]))	Enter Date of Notice or Order in YYYY-MM-DD format
ITR.ITR1.FilingStatus.ItrFilingDueDate	string	True	type=string, minLength=9, maxLength=10, pattern=2025-07-31, REQUIRED	
ITR.ITR1.ITR1_IncomeDeductions.GrossSalary	integer	True	type=integer, minimum=0, maximum=99999999999999, REQUIRED	
ITR.ITR1.ITR1_IncomeDeductions.Salary	integer	False	type=integer, minimum=0, maximum=99999999999999	
ITR.ITR1.ITR1_IncomeDeductions.PerquisitesValue	integer	False	type=integer, minimum=0, maximum=99999999999999	
ITR.ITR1.ITR1_IncomeDeductions.ProfitsInSalary	integer	False	type=integer, minimum=0, maximum=99999999999999	
ITR.ITR1.ITR1_IncomeDeductions.IncomeNotified89A	integer	True	type=integer, minimum=0, maximum=99999999999999, REQUIRED	
ITR.ITR1.ITR1_IncomeDeductions.IncomeNotified89AType[].NOT89ACountrycode	string	True	type=string, enum=['US', 'UK', 'CA'], REQUIRED	US - United States; UK - United Kingdom; CA - Canada
ITR.ITR1.ITR1_IncomeDeductions.IncomeNotified89AType[].NOT89AAmount	integer	True	type=integer, minimum=0, maximum=99999999999999, REQUIRED	
